Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
555.00	1.8660	2236.90	883.81
554.85	1.8990	2236.90	883.81
554.70	1.9300	2236.90	883.81
554.55	1.9190	2236.90	883.81
554.40	1.8990	2236.90	883.81
554.25	1.8870	2236.90	883.81
554.10	1.9050	2236.90	883.81
553.95	1.9240	2236.90	883.81
553.80	1.9060	2236.90	883.81
553.65	1.8760	2236.90	883.81
553.50	1.8550	2236.90	883.81
553.35	1.8570	2236.90	883.81
553.20	1.8780	2236.90	883.81
553.05	1.8870	2236.90	883.81
552.90	1.8790	2236.90	883.81
552.75	1.8630	2236.90	883.81
552.60	1.8830	2236.90	883.81
552.45	1.9120	2236.90	883.81
552.30	1.9290	2236.90	883.81
552.15	1.9190	2236.90	883.81
552.00	1.9260	2236.90	883.81
551.85	1.9540	2236.90	883.81
551.70	1.9700	2236.90	883.81
551.55	1.9680	2236.90	883.81
551.40	1.9310	2236.90	883.81
551.25	1.9060	2236.90	883.81
551.10	1.8850	2236.90	883.81
550.95	1.8710	2236.90	883.81
550.80	1.8560	2236.90	883.81
550.65	1.8430	2236.90	883.81
550.50	1.8540	2236.90	883.81
550.35	1.8760	2236.90	883.81
550.20	1.9030	2236.90	883.81
550.05	1.9000	2236.90	883.81
549.90	1.8970	2236.90	883.81
549.75	1.9170	2236.90	883.81
549.60	1.9380	2236.90	883.81
549.45	1.9610	2236.90	883.81
549.30	1.9620	2236.90	883.81
549.15	1.9630	2236.90	883.81
549.00	1.9660	2236.90	883.81
548.85	1.9920	2236.90	883.81
548.70	2.0060	2236.90	883.81
548.55	2.0070	2236.90	883.81
548.40	1.9880	2236.90	883.81
548.25	1.9850	2236.90	883.81
548.10	1.9940	2238.71	878.82
547.95	2.0030	2239.69	875.99
547.80	2.0070	2236.41	878.54
547.65	1.9950	2233.62	872.30
547.50	1.9800	2233.46	865.10
547.35	1.9780	2233.29	869.84
547.20	1.9930	2208.22	825.12
547.05	2.0150	2185.26	807.74
546.90	2.0240	2184.95	836.88
546.75	2.0140	2178.54	841.73
546.60	2.0010	2161.70	845.35
546.45	1.9910	2129.98	819.88
546.30	1.9860	2104.68	785.73
546.15	1.9820	2107.74	786.74
546.00	1.9780	2134.15	793.98
